"exp","ver","sub","experimenter","blocktyp","sess","trial","trial_time","trial_type","t1_level","t2_level","lag","t2_lag","global_letters","local_letters","t1_pos","t1","t1_corr","t1_resp","t1_acc","t2","t2_corr","t2_resp","t2_acc","t1_rt","t2_rt"
"RSVPLG02",2.1,401,"DN","Experiment",1,1,"2024-09-24_11h16.47.432","warmup","global","global",750,5,"FAZSUMLPHYEN","FNCELUMPAZYT",4,"S","sS","s",1,"H","hH","h",1,1.11594079999486,0.422376900009112
"RSVPLG02",2.1,401,"DN","Experiment",1,2,"2024-09-24_11h17.00.375","warmup","local","global",300,2,"XPYMFEASNUCL","FMUCZHPNEYLX",6,"H","hH","h",1,"S","sS","s",1,0.80763530000695,0.231683699996211
"RSVPLG02",2.1,401,"DN","Experiment",1,3,"2024-09-24_11h17.06.974","warmup","global","local",300,2,"FTPXSANYLEZM","XEZACNSTYPFM",5,"S","sS","s",1,"S","sS","s",1,3.18054689999553,0.152808999991976
"RSVPLG02",2.1,401,"DN","Experiment",1,4,"2024-09-24_11h17.16.892","warmup","local","local",300,2,"MCPZEXAYFULT","FPTCUHLHAEXZ",6,"H","hH","h",1,"H","hH","h",1,1.75703849999991,0.105124199995771
"RSVPLG02",2.1,401,"DN","Experiment",1,5,"2024-09-24_11h17.24.201","warmup","global","local",750,5,"FLAHEYCXMTNZ","FLEYXNZCSUMT",4,"H","hH","h",1,"S","sS","s",1,1.15985779999755,0.136241100000916
"RSVPLG02",2.1,401,"DN","Experiment",1,6,"2024-09-24_11h17.30.843","exp","global","global",300,2,"YFEASMSNPUZT","YLTAPNCUMFXE",5,"S","sS","s",1,"S","sS","s",1,1.39720930000476,0.0881492000044091
"RSVPLG02",2.1,401,"DN","Experiment",1,7,"2024-09-24_11h17.37.579","exp","global","local",750,5,"MPYESUFCNLTZ","MLCYTZEUAHPF",5,"S","sS","s",1,"H","hH","h",1,2.18056809999689,0.297186099996907
"RSVPLG02",2.1,401,"DN","Experiment",1,8,"2024-09-24_11h17.45.661","exp","local","local",750,5,"ZENPTAXMCFLU","LXUHEYMFHCAN",4,"H","hH","s",0,"H","hH","h",1,1.26830949999567,0.264798500007601
"RSVPLG02",2.1,401,"DN","Experiment",1,9,"2024-09-24_11h17.52.396","exp","local","global",300,2,"YTAFMXSUNZLE","PEMFSNTYXAUC",5,"S","sS","s",1,"S","sS","s",1,2.99510170001304,0.0882332999899518
"RSVPLG02",2.1,401,"DN","Experiment",1,10,"2024-09-24_11h18.00.746","exp","local","local",300,2,"PLFCYMAUTZNX","MLNPSASCFUET",5,"S","sS","s",1,"S","sS","h",0,1.37844689999474,1.48032329999842
